lambda	cosx	cos2x	cos3x	cos4x	cos5x	sinx	sin2x	sin3x	sin4x	sin5x	1	vcosx	vcos2x	vcos3x	vcos4x	vcos5x	vsinx	vsin2x	vsin3x	vsin4x	vsin5x	v
-1.500000000000000000e+00	1.538578629264640008e-01	8.990917376995453958e-02	2.222521291680372088e-02	5.149262769937376812e-03	2.444454741378547947e-03	-1.714667905325580055e-01	-5.577894395582436160e-02	-1.249960048075587048e-02	-9.366349908666896443e-03	-1.240728325596943994e-02	-2.487608421288319160e+00	-4.392251697926219944e-01	-3.205201311451817692e-02	-1.645017237875985583e-02	1.177354438545659410e-02	-3.939989828389774129e-02	-5.965707580961300271e-01	-1.117002697349847862e-01	-4.753838371870577895e-02	-1.019726979861180875e-02	2.281769308621440021e-02	-1.047783422948429938e-01
-1.399999999999999911e+00	1.538578629264640008e-01	8.990917376995453958e-02	2.222521291680372088e-02	5.149262769937376812e-03	2.444454741378547947e-03	-1.714667905325580055e-01	-5.577894395582436160e-02	-1.249960048075587048e-02	-9.366349908666896443e-03	-1.240728325596943994e-02	-2.287608421288318983e+00	-4.392251697926219944e-01	-3.205201311451817692e-02	-1.645017237875985583e-02	1.177354438545659410e-02	-3.939989828389774129e-02	-5.965707580961300271e-01	-1.117002697349847862e-01	-4.753838371870577895e-02	-1.019726979861180875e-02	2.281769308621440021e-02	-1.047783422948429938e-01
-1.300000000000000044e+00	1.547626745690590111e-01	9.019895932550829609e-02	2.278184108502866873e-02	5.310705935815740637e-03	1.222980113859033994e-03	-1.742336855269920048e-01	-5.990081022138678268e-02	-1.470930385253416996e-02	-6.528091305036433367e-03	-9.730917255299804253e-03	-2.092109264027774085e+00	-4.585336542310580188e-01	-3.907068305138611947e-02	-2.438364716412120062e-02	1.036957424167107324e-02	-3.430450449975167709e-02	-5.881348007943000278e-01	-8.541382034720150507e-02	-3.131534827751718264e-02	-3.261265644880378262e-02	-2.157841513951807948e-03	-9.492010405667074269e-02
-1.199999999999999956e+00	-1.508466523712040042e+00	8.819728080496079814e-01	5.575562758737145908e-02	-4.924501902013350141e-01	6.301576221173757486e-02	-2.812083978720950062e-01	-6.746612199556180078e-01	6.079238726766560408e-01	-1.865181815282659916e-01	-3.646764427016019883e-01	-1.188257251888598987e+00	-9.148059252751740145e-01	1.286962474472096163e-01	5.688915370864432164e-02	-2.634374147432320123e-01	-4.921253750916775721e-02	-2.126649160112960013e-01	-3.423822604484260124e-01	3.025149574396620022e-01	4.052789974282743762e-02	-2.439806821945740001e-01	-1.732592347774379871e-01
-1.100000000000000089e+00	-1.542694456117339907e+00	8.956257670427100193e-01	6.779216583538960617e-02	-4.812445697680989842e-01	5.232078986463103987e-02	-2.165647194737430059e-01	-7.081367458645799751e-01	6.630622844997120513e-01	-1.537546760723750017e-01	-3.386019414611389777e-01	-1.034034531538736257e+00	-7.948422749290600109e-01	3.217199310718218096e-03	1.011475067926024263e-01	-3.138704873981140175e-01	-8.814395259520410586e-02	-3.807026207300411719e-02	-3.647466834943219882e-01	1.770331509620274302e-01	-2.616383670762753924e-02	-2.183957587036519932e-01	-2.131880911284990132e-01
-1.000000000000000000e+00	-1.565094524512629981e+00	9.227237583845769864e-01	4.835826169785476664e-02	-4.906728142164900053e-01	5.035862924557787251e-02	-1.423161131939990054e-01	-7.400269277975209947e-01	6.565844487646550487e-01	-1.339002228664379901e-01	-3.222293344000080051e-01	-8.979541447546079969e-01	-7.588860275773180453e-01	-2.996035655476503995e-02	1.456171038532912410e-01	-2.622642905282600023e-01	-1.369560683951925595e-01	-2.401717587498175890e-02	-3.126742031076840123e-01	1.970533433972261050e-01	1.901314482029461961e-02	-2.054339098528799867e-01	-2.601800011037930238e-01
-9.000000000000000222e-01	-1.598522615946230019e+00	9.115828480800189926e-01	7.018213277942063344e-02	-5.102316047120449838e-01	3.201884276353857139e-02	-5.310957442964384101e-02	-7.668136009721200352e-01	6.509309794067189570e-01	-1.080012648088049948e-01	-3.218018722591700076e-01	-8.021049845270306067e-01	-6.951689219531880237e-01	-1.424644513637711996e-01	1.098933736826475382e-01	-2.092992237355019991e-01	-1.078453914178282014e-01	-6.030038817161047747e-03	-2.382595266596120032e-01	1.697064431622026248e-01	5.500534889411232142e-02	-1.254626588104033602e-01	-2.909794461062100157e-01
-8.000000000000000444e-01	-1.586943662293039958e+00	8.900129974085350115e-01	9.598313950908743397e-02	-5.004051897254949699e-01	1.998745566462285100e-02	9.086953588630344164e-03	-7.948121673143619947e-01	6.559305963702469766e-01	-9.030736037821997242e-02	-3.202098553798249925e-01	-7.097732297487491238e-01	-6.613694476047839999e-01	-1.575021385530691043e-01	8.018307809139779696e-02	-1.893598312708578701e-01	-1.257429306660943769e-01	-2.083395397225574000e-02	-1.404684804231581818e-01	1.310224118335225896e-01	1.081383434470895855e-01	-9.623739460537364399e-02	-3.158784523803460087e-01
-6.999999999999999556e-01	-1.561919837813050105e+00	8.683978928101510064e-01	1.106277766843729998e-01	-5.049401846813480477e-01	-1.884423150339616928e-03	7.366924136690047864e-02	-8.148730883375699952e-01	6.668012041632349618e-01	-8.036089829752703084e-02	-3.111468923791360086e-01	-6.256740387739778697e-01	-6.524320958317919583e-01	-1.907823974588097049e-01	8.538866164156029559e-02	-1.662150135211522550e-01	-1.293066269139561131e-01	-2.796621507905372103e-02	-5.538303679064864038e-02	1.090331927524415406e-01	1.269761127161137260e-01	-1.011608203466072137e-01	-3.365146878649999951e-01
-5.999999999999999778e-01	-1.542591284560890008e+00	8.388567634408340412e-01	1.401395752415109941e-01	-5.241780867706250513e-01	-1.556746927740275052e-02	1.574186211897909971e-01	-8.272043238126699505e-01	6.774267262229289877e-01	-5.496149543057522041e-02	-3.070003540005870057e-01	-5.762236042246609014e-01	-6.284383027670900068e-01	-2.199079727349080027e-01	6.816068884760090318e-02	-1.158206758211644816e-01	-1.354009323832210676e-01	-9.712256045066758325e-03	3.130097860164995915e-02	8.959565254847104421e-02	1.503503827605696952e-01	-8.314684868895358405e-02	-3.607432515509039761e-01
